id,start,end,nom,resp,dep,iddep
11643,2013-04-26,,"Departament d'Actuació Tributària","Beatriz Mur i Martí","Departament de Territori i Sostenibilitat",3392
11644,2013-04-26,,"Departament de Determinació Tributària","Josep Maria Sangrà i Franci","Departament de Territori i Sostenibilitat",3392
11645,2013-04-26,,"Departament de Recaptació","Anna de la Torre i Carrencà","Departament de Territori i Sostenibilitat",3392
11647,2013-04-26,,"Demarcació Territorial de Girona de l'Agència Catalana de l'Aigua","Alexandre Rocas i Jordi","Departament de Territori i Sostenibilitat",3392
11648,2013-04-26,,"Demarcació Territorial de Lleida de l'Agència Catalana de l'Aigua","Josep Manel Pascual i Diaz","Departament de Territori i Sostenibilitat",3392
11649,2013-04-26,,"Demarcació Territorial de Tarragona de l'Agència Catalana de l'Aigua","Francesc Benet i Giné","Departament de Territori i Sostenibilitat",3392
11650,2013-04-26,,"Demarcació Territorial de les Terres de l'Ebre de l'Agència Catalana de l'Aigua","Carlos J. Loaso i Vierbucher","Departament de Territori i Sostenibilitat",3392
11667,2013-04-26,,"Centre d'Atenció Primària (CAP) Gòtic","null","Departament de Salut",2803
11668,2013-04-26,,"Centre d'Atenció Primària (CAP) Doctor Agustí Garriga","null","Departament de Salut",2803
11669,2013-04-26,2013-08-06,"Parc Natural dels Ports","Rafel Balada Llasat","Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",4163
11670,2013-04-26,,"Centre de Recerca Ecològica i Aplicacions Forestals (CREAF)","Ferran Roda","Departament de Territori i Sostenibilitat",3392
11671,2013-04-26,,"Negociat de Registre","Lola Badenes i Josa","Departament de Salut",2803
11673,2013-04-26,,"Centre d'Atenció Primària (CAP) Centelles","null","Departament de Salut",2803
11674,2013-04-26,,"Centre d'Atenció Primària (CAP) Marià Fortuny ","null","Departament de Salut",2803
11678,2013-04-26,,"Subdirecció General d'Atenció a les Persones i Promoció de l'Autonomia Personal","Mònica Ribas i Gironès","Departament de Benestar Social i Família",5823
11679,2013-04-26,,"Subdirecció General d'Anàlisi i Programació","Lluís Grande i Ratia","Departament de Benestar Social i Família",5823
11680,2013-04-26,,"Subdirecció General de Gestió de Recursos","M. Carmen Milian i Peña","Departament de Benestar Social i Família",5823
11681,2013-04-26,,"Servei de Programes Sectorials","Roger Cuscó i Segarra","Departament de Benestar Social i Família",5823
11682,2013-04-26,,"Servei de Programació","Maria José Baron Castellar","Departament de Benestar Social i Família",5823
11683,2013-04-26,,"Servei de Recursos Aliens","Adela Vives Belmonte","Departament de Benestar Social i Família",5823
11684,2013-04-26,,"Servei de Prestacions","Júlia Pueyo","Departament de Benestar Social i Família",5823
11685,2013-04-26,,"Secció de Compra de Serveis","Maria Concepció Pérez i García","Departament de Benestar Social i Família",5823
11688,2013-04-26,,"Secció de Nòmines","Maria del Mar Fernández i Sánchez","Departament de Benestar Social i Família",5823
11689,2013-04-26,,"Secció de Revisió i Seguiment","Aurora Lorente Puertolas","Departament de Benestar Social i Família",5823
11691,2013-04-26,,"Centre d'Atenció Primària (CAP) Cubelles","null","Departament de Salut",2803
11692,2013-04-26,,"Secció de Secretaria dels Serveis Territorials a Girona","null","Departament de Benestar Social i Família",5823
11693,2013-04-26,,"Servei de Gestió Territorial a Girona","Carles Soler Casals","Departament de Benestar Social i Família",5823
11694,2013-04-26,,"Servei d'Atenció a les Persones de Girona","Miquel Àngel Gusart Ponsà","Departament de Benestar Social i Família",5823
11695,2013-04-26,,"Secció de Secretaria dels Serveis Territorials a Lleida","Rosa Maria Ordi Gomà","Departament de Benestar Social i Família",5823
11696,2013-04-26,,"Servei de Gestió Territorial a Lleida","Antoni Reinoso Gil","Departament de Benestar Social i Família",5823
11697,2013-04-26,,"Servei d'Atenció a les Persones de Lleida","Ramir Bonet Farran","Departament de Benestar Social i Família",5823
11698,2013-04-26,,"Secció de Secretaria dels Serveis Territorials a Tarragona","Noemí Llauradó Sans","Departament de Benestar Social i Família",5823
11699,2013-04-26,,"Servei de Gestió Territorial a Tarragona","Eva Ferran Roig","Departament de Benestar Social i Família",5823
11700,2013-04-26,,"Servei d'Atenció a les Persones de Tarragona","M. Lourdes González-Casabon Usieto","Departament de Benestar Social i Família",5823
11701,2013-04-26,,"Secció d'Informació, Valoració i Seguiment de Girona","Jordi Solé i Carrizo ","Departament de Benestar Social i Família",5823
11702,2013-04-26,,"Secció d'Informació, Valoració i Seguiment de Lleida","Inés Camats i Roca","Departament de Benestar Social i Família",5823
11703,2013-04-26,,"Secció d'Informació, Valoració i Seguiment de Tarragona","Anna Vendrell i Maños","Departament de Benestar Social i Família",5823
11704,2013-04-26,,"Serveis Territorials de Benestar Social i Família a Barcelona","Carme Canela i Farré","Departament de Benestar Social i Família",5823
11705,2013-04-26,,"Secció de Secretaria dels Serveis Territorials a Barcelona","Elena García Pérez","Departament de Benestar Social i Família",5823
11706,2013-04-26,,"Servei de Gestió Territorial a Barcelona","Gemma Ruiz i Fernàndez","Departament de Benestar Social i Família",5823
11707,2013-04-26,,"Servei d'Atenció a les Persones del Barcelonès","Maria del Valle Vinardell Arbuló","Departament de Benestar Social i Família",5823
11708,2013-04-26,,"Servei d'Atenció a les Persones de les Comarques de Barcelona","Carlos Jacobo Masip","Departament de Benestar Social i Família",5823
11709,2013-04-26,,"Secció d'Informació i Orientació del Barcelonès","José Antonio Romero Pedroche","Departament de Benestar Social i Família",5823
11710,2013-04-26,,"Secció de Valoració i Seguiment del Barcelonès","Francesca Burgos Ruiz","Departament de Benestar Social i Família",5823
11711,2013-04-26,,"Secció d'Informació i Orientació de les Comarques de Barcelona","Josepa Vergara i Beltran","Departament de Benestar Social i Família",5823
11712,2013-04-26,,"Secció de Valoració i Seguiment de les Comarques de Barcelona","Eva Herbera Codina","Departament de Benestar Social i Família",5823
11713,2013-04-26,,"Casal de Gent Gran Hospitalet-Progrés","null","Departament de Benestar Social i Família",5823
11714,2013-04-26,,"Centre d'Atenció Primària (CAP) Sardenya ","null","Departament de Salut",2803
11715,2013-04-26,,"Consorci del Barri de la Mina","Núria Giralt i Page","Departament de Benestar Social i Família",5823
11716,2013-04-26,,"Servei de Gestió de Recursos","Francesc Crespo Climent","Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",4163
11717,2013-04-26,,"Subdirecció General d'Agents Rurals","Rosa Maria Torre LLoveras","Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",4163
